smiles,synergy
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1=O)C(C)O,11.172
O=[Te]([O-])[O-].[K+].[K+],11.255
COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,11.284
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,11.332
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,11.448
COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21,11.549000000000001
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,11.562000000000001
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,11.895
Cc1nccc2c1[nH]c1ccccc12,12.04
O=C1C=C2C(=CCOC2O)O1,12.129000000000001
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,12.47
Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,12.537
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,12.642000000000001
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,12.757
O=P(O)(O)OP(=O)(O)O,13.272
CCCCCCCCCCCCCCCC[n+]1ccccc1.O.[Cl-],13.392000000000001
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,13.495
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,13.71
C[n+]1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)C[N+]4=NN=NC4)C3SC2)s1,14.255
CCN(CC)CCOC(=O)c1ccc(N)cc1,14.622
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,14.745999999999999
N#CO,15.055
CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,15.282
N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,15.470999999999998
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,15.695
CC=CC=CC(=O)O,16.441
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,17.406
Cc1cc(O)cc(C)c1Cl,18.773
O=C([O-])CN(CCOCCOCCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+],19.215
CC1=CC(=O)c2c(O)cccc2C1=O,19.708
CN(C)C(=O)N=NC(=O)N(C)C,22.505
